timestamp_est,anonymous_id,language,question
2020-03-22 10:55:35.958,dfc284f8-e162-44fe-b6ab-4dc25083293e,es,Are you sick?
2020-03-21 22:41:05.702,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,When should I go to the hospital?
2020-03-22 20:44:40.577,b3923f7c-ea90-4af2-94c5-5ee8736975fd,ko,I think I have a fever. What do I do?
2020-03-21 23:21:56.689,8e750805-9fc2-4702-a244-0b7e67cf29ad,vi,1+1
2020-03-22 11:24:07.614,7977f4b9-e495-45f7-a5ca-841359f618ac,es,What's covid19?
2020-03-22 16:34:39.551,4b388591-5ea5-401f-b387-9a4e6be70a91,pt,Does the virus spread by rain?
2020-03-21 19:50:01.242,ceae6bf7-a5ec-4832-934d-211ebc182948,es,Le virus est-il aussi virulent dans les pays proche de l'équateur ? 
2020-03-22 18:37:45.23,f2db6c52-2c2a-4b9d-bc14-c5e71263788d,es,What are the synthoms?
2020-03-21 23:43:37.95,ad758027-60ef-4316-974a-6856cdf18b7b,zh,what is covid-19
2020-03-22 00:20:18.876,91c3514c-e3f6-43cd-beae-fb8cdcde4365,vi,Huhu
2020-03-23 08:35:41.274,fb8c308a-e920-42c9-86e1-4549263409fd,es,What mesures needs to take a pregnant women to reduce the risk?
2020-03-23 03:26:43.086,d1c57c03-08b8-48d1-ac72-767b54ab1797,zh,Do you think Taiwan is good?
2020-03-22 09:18:50.348,bcd29986-5e46-441c-921c-061ee2623526,es,How's the shortness of breath?
2020-03-21 22:41:05.632,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,How do I know if I haver coronavirus?
2020-03-22 01:00:35.045,b8ba88da-151b-4d8a-a573-738feccd7008,es,covid19 symptons?
2020-03-21 16:38:20.457,d2bf053f-2512-4f30-aab6-cf74894dc3c2,it,Is the Asymptomatic Carrier a temporary status? 
2020-03-21 19:50:01.266,ceae6bf7-a5ec-4832-934d-211ebc182948,es,L'automédication peut-elle aider à vaincre la maladie ? 
2020-03-21 23:43:37.943,ad758027-60ef-4316-974a-6856cdf18b7b,zh,你好
2020-03-22 23:25:50.815,838b0278-0b8e-4e9c-919d-500676aa9362,ru,What is it
2020-03-22 18:12:15.255,95a344d0-0b90-4d40-bcec-ff414c0011bb,pl,How to avoid exposure?
2020-03-22 16:12:59.275,4af2ef27-8035-4b20-a5f9-b1e7ba29ceb7,es,¿Como limpio mi celular?
2020-03-22 11:33:28.53,3cc91071-68fc-4664-abc5-8777017d4dc6,es,¿Una persona puede sufrir una recaída con la enfermedad del COVID-19?
2020-03-22 11:33:28.561,3cc91071-68fc-4664-abc5-8777017d4dc6,es,"Cual es la diferencia entre vacuna, tratamiento y cura del COVID-19"
2020-03-22 00:20:18.787,91c3514c-e3f6-43cd-beae-fb8cdcde4365,vi,What is Covid-19?
2020-03-23 06:44:47.997,23a36235-b19b-4ac0-8a55-412ec7725265,vi,Covid việt nam
2020-03-22 11:34:31.975,616e3fe0-cace-40fc-b66d-be3d4e3e8f69,es,What is the covid?
2020-03-22 14:31:25.652,0b6c858e-1625-474b-991c-b4d20f11cec1,pt,What is the impact that covid-19 has in the economy?
2020-03-22 06:05:35.159,f82b7385-b640-4e24-ad47-47188da99a82,vi,Which country infected ? 
2020-03-22 01:00:35.034,b8ba88da-151b-4d8a-a573-738feccd7008,es,systomps
2020-03-22 04:09:06.973,9dd21188-850f-4556-a89e-a11d4f6563b6,es,What is covid
2020-03-22 17:53:53.649,5c6d77d5-4e2a-4a3e-838d-1dce011b2631,fr,Est-ce que caresser le chien de nos amis peut mener à une contamination?
2020-03-22 22:25:32.067,9f6c857a-c6da-498d-93ad-237e8310394d,fr,comment le virus se propage-t-il? 
2020-03-22 01:41:10.762,3c16663e-dc8b-48f7-8168-d98020a0178e,fr,Durée du confinement
2020-03-23 13:43:11.22,ccc78c8c-c526-4488-9802-eef4e8b0e62f,fr,Est-ce que je peux laisser les fenêtres ouvertes ?
2020-03-23 10:08:19.367,7bde46f3-bc62-4bed-9483-f8167fab8821,fr,Est-ce que les rendez-vous de suivi de grossesse sont considérés comme non nécessaires?
2020-03-22 11:50:58.081,75b60385-16cc-4205-a039-90eae872ee0b,fr,Pourquoi ne pas obliger le port du masque par tous?
2020-03-22 20:34:29.727,6189d2d8-99a7-4b59-97af-3f4cfeb36711,fr,Pourquoi ne pas tout arrêter l'économie comme en Chine?
2020-03-22 12:58:34.006,211b6c7a-456e-426e-8038-bb9472654b15,fr,"Si une personne tousse devant moi et que je reçois des gouttelettes au virage, que puis-je faire? "
2020-03-22 19:59:53.072,3e55edd0-ed00-498c-9e18-4984120fcf5a,fr,Va-t-on être en pénurie de nourriture?
2020-03-22 10:44:58.57,a7f0c2cb-dcb7-45d9-b24b-27c92e0026f4,fr,J'ai une toux sèche. Devrais je faire un test de dépistage du COVID19?
2020-03-22 06:25:10.597,27e7e448-98d4-45ea-9138-06ad61b89a33,fr,En parallèle avec le covid-19 combien de cas de la grippe ont tué de personnes
2020-03-22 13:41:38.513,f587e16e-8ec5-4aa8-b3e2-8873ff73f6da,fr,Comment se propage le virus?
2020-03-22 15:46:26.606,eead6b1e-58d3-47b3-9eee-1f141f985849,fr,En toute transparence. Le port du masque n'est pas recommandé parce que il y a rupture de stock non ?
2020-03-22 17:55:39.793,172a97e7-6ed8-4200-a856-6089aab35851,fr,"J’ai de la toux, mais pas de fièvre. Suis-je infecté?"
2020-03-21 10:59:53.427,aaa45fa5-962e-4ee1-bcef-cceb93070aa0,fr,comment avoir un rendez vous
2020-03-23 05:23:45.594,ff36e21c-f99a-4015-8fa0-bf1e7cceb028,es,What is the COVID-19?
2020-03-21 16:18:43.612,c8b7b2a5-a411-4c8a-809b-e376fbef8328,fr,A partir de quelle température de fièvre doit-on s'inquiéter ?
2020-03-22 11:33:51.622,03257f4f-b7bb-49b2-99f6-f36997600d19,fr,combien de temps le virus survit-ils sur les surfaces?
2020-03-22 13:11:45.491,58b49517-abdc-4c17-9398-0359753a23ec,ko,South korea
2020-03-21 22:22:58.106,d9df507b-3d73-4a7c-bff8-d2fd90664e34,fr,Quel est le % de la population touchée par chaque pays dans le monde?
2020-03-21 23:44:50.553,3df81e7e-33d6-4b84-b676-3e25f14e09cf,fr,Est-ce que le virus est plus facile à attraper que le rhume ordinaire?
2020-03-22 20:24:34.359,0506a9eb-b595-4029-b766-1c829ca583a1,fr,Quel est le risque d'une seconde vague?
2020-03-22 09:46:21.246,609ac046-addf-4de3-addd-c96d5eee2553,fr,Nous sommes allés en voyage à la relâche et terminons notre 14e jour de confinement. Est-ce que nous pouvons recevoir un ami à la maison si celui-ci est en santé ? 
2020-03-22 11:58:11.992,5b72d0b3-1d4d-412e-932e-51a91b73a269,fr,"Il y a beaucoup d'information contradictoires, parfois, sur la COVID-19, pouvez vous me donner des informations simples à propos de cette pandémie?"
2020-03-21 23:31:31.721,cb017cf3-8b40-4e5f-ae3d-439d5a331808,fr,Est-ce que éternue est un symptôme?
2020-03-21 22:15:22.52,85286407-e3ef-4c2c-90d9-521f8e894f6b,fr,Quels sont les types de traitement en expérimentation qui pourraient permettre de réduire l’inflammation causée par la COVID-19?
2020-03-23 18:42:08.988,36cb4fb7-1b29-4a67-a91e-4b033d68843c,fr,"Existe-t-il de nouveaux symptômes jusqu'ici ignorés, comme les troubles digestifs tels que la diarrhée et les maux de ventre?"
2020-03-22 15:45:55.34,31b1bbdd-8645-46ba-b2cb-32a3583e4d88,fr,Pouvons nous sortir courir ou vaut il mieux rester à la maison?
2020-03-22 17:54:22.887,9d2ba8fe-359c-406f-87ea-4a33457fe160,fr,Le risque de transmission est d’avoir été en contact avec une personne malade donc qui a des symptômes?
2020-03-22 18:34:24.501,b3c7a043-47b3-4814-abf3-f991ac9bfad8,fr,Que dois-je faire si j’ai certains symptômes ?
2020-03-22 10:54:55.624,f10ab78e-542e-427f-99df-987b6f4817ee,fr,Quand serions-nous confiné(s)?
2020-03-22 15:15:16.422,e90e8f0c-f73b-4fe1-9fcb-bed2f01dacb1,ro,How many people have dies
2020-03-21 15:51:43.742,ea3021bb-0785-4fdd-a2af-95ae20568b5c,fr,Que dois-je faire si je présente des symptômes du COVID-19 ?
2020-03-22 14:48:33.907,239c32e7-14ff-47a4-a868-f4c5e0f3ffcf,fr,Pendant combien de temps durera l'épidémie du COVID-19?
2020-03-23 14:08:28.656,fd9acce8-91dd-4c11-abe8-d58336434034,fr,Est-ce que vous embaucher? 
2020-03-23 14:15:20.242,198dc5ba-fc0b-4ed2-991b-c36907cf2e98,fr,Doit-on désinfecter les emballages des produits achetés à l’épicerie?
2020-03-23 13:06:45.783,ac7d256c-c87f-4708-8de9-fc8389c0a050,fr,"Si je rencontre quelqu'un positif au virus, combien de jours je peux percevoir les symptomes ?"
2020-03-22 09:03:13.428,33cdb1a7-dca0-4329-b415-2f4b670ec2ee,fr,Peut-on visiter un nouveau-né
2020-03-21 15:54:28.812,c2a02e70-8aeb-47c0-b026-83d46e30c457,fr,Quelles sont les symptômes du covid ? 
2020-03-22 19:59:53.088,3e55edd0-ed00-498c-9e18-4984120fcf5a,fr,"Les gens qui reviennent de l'étranger, sont-ils automatiquement infectés?"
2020-03-22 07:38:17.79,e92eaaa1-1eaf-4dba-ba03-affd119e9ecd,fr,A quel moment doit on appeler le 15?
2020-03-23 22:02:35.725,32ded00a-211b-42a8-88c0-fce965a60911,fr,Combien de temps avant d’avoir les résultats d’un test?
2020-03-23 11:30:53.739,9655957b-5d56-402d-9f8d-4924983e30da,fr,Est-il vrai que la Covid-19 cause des nausées et/ou de la diarrhée?
2020-03-23 11:30:58.578,f1fc4066-0d34-48b8-810d-5ec42660a53c,fr,Combien de temps cela prend pour avoir les résultats de dépistage du Coronavirus?
2020-03-22 07:39:39.58,f839ea4c-d510-4ade-9f45-82c2627b256b,fr,"Quelle est le coefficient de multiplication du virus sur une lamelle expérimentale en laboratoire? exemple 1x10/24 heures, échelle logarithmique,..."
2020-03-22 00:33:48.352,5b79108d-8d7d-45fb-99d3-f4d8620949fc,fr,Doit-on mettre notre linge au lavage à chaque jour? Fini de porter les mêmes jeans jour après jour?
2020-03-23 09:30:31.736,a26a7ac3-77e3-46a9-b8b7-2b592749b124,fr,Je tousse dpeuis hier je fais koi ?
2020-03-22 08:28:12.926,a64ddd7c-e414-40c2-bb01-7d793508f142,fr,"J'ai besoin d'aide d'une gardienne pour s'occuper des enfants pour travailler, est ce sécuritaire d'avoir une gardienne chez moi?"
2020-03-23 13:06:45.776,ac7d256c-c87f-4708-8de9-fc8389c0a050,fr,"Si je n'ai pas de fièvre et que je ne me sens pas bien, est-il possible que je sois contaminé par le virus ?"
2020-03-21 17:54:33.004,e912766a-3a24-4c7c-8520-f1552b2b8982,fr,Combien de temps est ce que le virus reste actif sur les surface lisse? 
2020-03-21 15:09:51.902,a5af387a-80ad-4854-9355-9078ce80ba66,fr,"Bonjour, j’ai appris que dans le bâtiment où mon père travaille, il y a eu un cas de covid déclaré. On ne sait pas si mon père a été en contact avec cette personne. Il a décidé de passer le test même s’il n’a aucun symptômes. Pour ma part, je n’ai aucun symptômes, est ce que je suis obligé de rester en quarantaine ou je peux continuer à aller travailler tout en prenant mes précautions? Merci  "
2020-03-22 17:49:45.106,35c6da93-3a3c-4111-9f73-e82274962753,es,Idioma? 
2020-03-23 11:49:49.212,e00634ff-fec6-4fc1-9513-10891925bb6b,fr,"Comment obtenir un traitement urgent d'un physiothérapeute pour un lymphoedème en phase aigüe, alors que ces services au public et au privé sont suspendus ou limités?"
2020-03-22 12:52:26.493,e84cb4b5-9e76-41f5-8c2a-04c6413dd1fd,fr,What is coronavirus ?
2020-03-22 11:58:11.843,5b72d0b3-1d4d-412e-932e-51a91b73a269,fr,Quel est le taux de survie de la COVID-19?
2020-03-21 12:34:36.617,57443797-c060-462d-9b47-35a3fbfbcbd7,fr,"Bonjour, puis je me réunir avec des amis ?"
2020-03-21 17:54:32.993,e912766a-3a24-4c7c-8520-f1552b2b8982,fr,Quelles sont les statistiques québécoises?  
2020-03-23 14:17:25.665,0bff6b6d-7129-446c-a3c1-06cef508484f,fr,"Je reviens de voyage. Je suis en isolement volontaire. Je tousse, mais je ne fais pas de fièvre. Devrais-je consulter?"
2020-03-22 16:53:34.79,766e8a63-b4bf-4c18-9d61-19eaa16ae511,fr,Où sont traiter les cas de covid19 ?
2020-03-22 17:17:31.035,79e9b4c5-10ce-488f-8478-a36745225485,fr,À partir de quelle température peut-on considérer faire de la fièvre?
2020-03-22 16:53:34.763,766e8a63-b4bf-4c18-9d61-19eaa16ae511,fr,Est-ce le fait de mettre des gants me protège ?
2020-03-23 09:12:10.617,3800c058-ccd6-4154-be5f-4efcf6d73ac1,fr,Est-ce vrai que le virus reste actif dans les airs pendant des heures et que je pourrais donc l'attraper en prenant une marche même si je ne rencontre personne?
2020-03-22 15:57:15.338,178447cc-3142-4cd6-add9-df8bffddd6ec,fr,Que faire quand on a des doutes sur sa santé
2020-03-21 21:57:16.354,2f4fd324-5f18-4329-b80e-bacdb5ec146b,fr,"Utilisation du zinc , ou ciclesonide "
2020-03-22 13:10:58.089,e6351eb8-cd2d-48db-b4a7-27380ffee853,fr,Que faire si j’ai des symptômes?
2020-03-22 09:25:14.911,216948e0-2d7a-4321-847d-8493657be9bd,fr,Ça va finir quand? 
2020-03-23 08:53:50.987,50c969c3-aaeb-48e0-8bef-b12834c50217,fr,Quels sont les symptômes?
2020-03-22 21:10:06.878,44963e29-b5c8-4d32-8053-ccc3c473b31c,fr,Est-ce que tout redeviendra comme avant après la crise?
2020-03-23 14:08:28.636,fd9acce8-91dd-4c11-abe8-d58336434034,fr,Est-ce que je vais perdre mon emploi?
2020-03-23 02:15:25.347,045ba4f2-6415-4171-a190-db2be81bc4ac,fr,Quels sont les premiers symptomes du covid-19?
2020-03-21 21:08:40.631,aa235e8a-5bbb-493b-a5dc-3338af945df8,fr,est-ce qu'on peut attraper la Covid-19 plus d'une fois?
2020-03-23 19:26:09.246,58a47daf-2f18-4dbc-8e42-5ace51313f1b,fr,"Je fais de la fièvre, ai-je automatiquement le virus?"
2020-03-22 23:11:41.448,39ef3310-c393-4cf1-ae96-e3e79d076ace,es,Have i coronavirus?
2020-03-22 16:05:19.131,b63609a4-b747-4c9e-bb0c-61a220f5ccf8,fr,Peut-on faire une quarantaine plutôt qu'un dépistage ?
2020-03-21 10:23:56.908,9e7442fc-dbbd-4e6b-ac35-f0cc7df8c6b4,fr,Y-a-t-il un remède de disponible? 
2020-03-21 21:38:30.224,120df8c2-5148-4cde-ad3c-2f4eb595af5f,fr,Ma conjointe a des symptômes. Dois-je me faire tester ?
2020-03-22 19:32:41.67,8dcbc2fd-9140-4e6d-a8c0-5b4f12134405,fr,À quelle distance doit-on se situer des gens en parfaite santé?
2020-03-23 22:13:21.138,5be083e3-c7f4-4897-a621-404143b391ae,fr,Qu'est-ce que la covid
2020-03-22 21:49:21.375,903e5169-5d57-4818-bc13-1e1ee4f61850,fr,Pourquoi les gens qui revenaient de voyage après le 13 mars n’ont pas été mis en quarantaine forcée?
2020-03-21 23:40:31.217,6550cfe7-749a-48ba-aeca-7e0c91a7bf28,fr,Des médicaments ou plante qui aideraient à guérir ou prévenir 
2020-03-21 18:43:28.902,45797125-d95a-4cf6-941e-d940aaa7ce8c,fr,Est-ce que la situation va empirer au Québec?
2020-03-21 23:21:56.733,8e750805-9fc2-4702-a244-0b7e67cf29ad,vi,What is
2020-03-21 14:21:13.526,4e4447a0-86d9-4c54-9d5b-f956e1cf705f,fr,Est-ce qu'il existe actuellement un médicament efficace contre le Covid-19?
2020-03-22 12:58:33.85,211b6c7a-456e-426e-8038-bb9472654b15,fr,"Si je vais nager dans une piscine, suis-je à risque d’attraper ou de donner le virus?"
2020-03-21 17:04:45.167,b46310b5-5877-465c-bd0f-67bad5b70f3a,pt,existe cura para virus em geral ?
2020-03-23 10:45:29.226,f06c1bcc-5a69-4504-a68a-885c61aeb62b,fr,"Je suis enrhumée, est-ce que je suis plus vulneravle à développer la covid-19?"
