timestamp_est,anonymous_id,language,question,detected_language,roundtrip_translated_questions_0,roundtrip_translated_questions_1,paraphrased_0,paraphrased_1,paraphrased_2,paraphrased_3,paraphrased_4,paraphrased_5,paraphrased_6,paraphrased_7,paraphrased_8,paraphrased_9,paraphrased_10,paraphrased_11,paraphrased_12,paraphrased_13,paraphrased_14,paraphrased_15,paraphrased_16,paraphrased_17,paraphrased_18,paraphrased_19,paraphrased_20,paraphrased_21,paraphrased_22,paraphrased_23,paraphrased_24,paraphrased_25,paraphrased_26,paraphrased_27,paraphrased_28,paraphrased_29,paraphrased_30,paraphrased_31,paraphrased_32,paraphrased_33,paraphrased_34,paraphrased_35,paraphrased_36,paraphrased_37,paraphrased_38,paraphrased_39,paraphrased_40,paraphrased_41,paraphrased_42,paraphrased_43,paraphrased_44,paraphrased_45,paraphrased_46,paraphrased_47,paraphrased_48,paraphrased_49,paraphrased_50,paraphrased_51,paraphrased_52,paraphrased_53,paraphrased_54,paraphrased_55,paraphrased_56,paraphrased_57,paraphrased_58,paraphrased_59,paraphrased_60,paraphrased_61,paraphrased_62,paraphrased_63,paraphrased_64,paraphrased_65,paraphrased_66,paraphrased_67,paraphrased_68,paraphrased_69,paraphrased_70,paraphrased_71,paraphrased_72,paraphrased_73,paraphrased_74,paraphrased_75,paraphrased_76,paraphrased_77,paraphrased_78,paraphrased_79,paraphrased_80,paraphrased_81,paraphrased_82,paraphrased_83,paraphrased_84,paraphrased_85,paraphrased_86,paraphrased_87,paraphrased_88,paraphrased_89,paraphrased_90,paraphrased_91,paraphrased_92,paraphrased_93,paraphrased_94,paraphrased_95,paraphrased_96,paraphrased_97,paraphrased_98,paraphrased_99,paraphrased_100,paraphrased_101,paraphrased_102,paraphrased_103,paraphrased_104,paraphrased_105,paraphrased_106,paraphrased_107,paraphrased_108,paraphrased_109,paraphrased_110,paraphrased_111,paraphrased_112,paraphrased_113,paraphrased_114,paraphrased_115,paraphrased_116,paraphrased_117,paraphrased_118,paraphrased_119,paraphrased_120,paraphrased_121,paraphrased_122,paraphrased_123,paraphrased_124,paraphrased_125,paraphrased_126,paraphrased_127,paraphrased_128,paraphrased_129,paraphrased_130,paraphrased_131,paraphrased_132,paraphrased_133,paraphrased_134,paraphrased_135,paraphrased_136,paraphrased_137,paraphrased_138,paraphrased_139,paraphrased_140,paraphrased_141,paraphrased_142,paraphrased_143,paraphrased_144,paraphrased_145,paraphrased_146,paraphrased_147,paraphrased_148,paraphrased_149,paraphrased_150,paraphrased_151,paraphrased_152,paraphrased_153,paraphrased_154,paraphrased_155,paraphrased_156,paraphrased_157,paraphrased_158,paraphrased_159,paraphrased_160,paraphrased_161,paraphrased_162,paraphrased_163,paraphrased_164,paraphrased_165,paraphrased_166,paraphrased_167,paraphrased_168,paraphrased_169,paraphrased_170,paraphrased_171,paraphrased_172,paraphrased_173,paraphrased_174,paraphrased_175,paraphrased_176,paraphrased_177,paraphrased_178,paraphrased_179,paraphrased_180,paraphrased_181,paraphrased_182,paraphrased_183,paraphrased_184,paraphrased_185,paraphrased_186,paraphrased_187,paraphrased_188,paraphrased_189,paraphrased_190,paraphrased_191,paraphrased_192,paraphrased_193,paraphrased_194,paraphrased_195,paraphrased_196,paraphrased_197,paraphrased_198,paraphrased_199,paraphrased_200,paraphrased_201,paraphrased_202,paraphrased_203,paraphrased_204,paraphrased_205,paraphrased_206,paraphrased_207,paraphrased_208,paraphrased_209,paraphrased_210,paraphrased_211,paraphrased_212,paraphrased_213,paraphrased_214,paraphrased_215,paraphrased_216,paraphrased_217,paraphrased_218,paraphrased_219,paraphrased_220,paraphrased_221,paraphrased_222,paraphrased_223,paraphrased_224,paraphrased_225,paraphrased_226,paraphrased_227,paraphrased_228,paraphrased_229,paraphrased_230,paraphrased_231,paraphrased_232,paraphrased_233,paraphrased_234,paraphrased_235,paraphrased_236,paraphrased_237,paraphrased_238,paraphrased_239,paraphrased_240,paraphrased_241,paraphrased_242,paraphrased_243,paraphrased_244,paraphrased_245,paraphrased_246,paraphrased_247,paraphrased_248,paraphrased_249,paraphrased_250,paraphrased_251,paraphrased_252,paraphrased_253,paraphrased_254,paraphrased_255,paraphrased_256,paraphrased_257,paraphrased_258,paraphrased_259,paraphrased_260,paraphrased_261,paraphrased_262,paraphrased_263,paraphrased_264,paraphrased_265,paraphrased_266,paraphrased_267,paraphrased_268,paraphrased_269,paraphrased_270,paraphrased_271,paraphrased_272,paraphrased_273,paraphrased_274,paraphrased_275,paraphrased_276,paraphrased_277,paraphrased_278,paraphrased_279,paraphrased_280,paraphrased_281,paraphrased_282,paraphrased_283,paraphrased_284,paraphrased_285,paraphrased_286,paraphrased_287,paraphrased_288,paraphrased_289,paraphrased_290,paraphrased_291,paraphrased_292,paraphrased_293,paraphrased_294,paraphrased_295,paraphrased_296,paraphrased_297,paraphrased_298,paraphrased_299
2020-03-22 10:55:36,dfc284f8-e162-44fe-b6ab-4dc25083293e,es,Are you sick?,en,Are you sick?,,are you sick,am i sick,am i ill,i am sick,Are you sick?,are you ill,are u ill,you are sick,am sick,you are ill,are u sick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21 22:41:06,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,When should I go to the hospital?,en,When should I go to the hospital?,,when you should go to hospital,when should you go the hospital,when do you need to go to hospital,When should I go to the hospital?,when do you know it's time to go to the hospital,when you should go to the hospital,when should i go the hospital,how do you know when it's time to go to the hospital,when do i need to go to hospital,when do i need to go to the hospital,when do you need to go to the hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 20:44:41,b3923f7c-ea90-4af2-94c5-5ee8736975fd,ko,I think I have a fever. What do I do?,en,I think I have a fever. What do I do?,I think I have a fever. ######What do I do?,what do you do when you have fever,how tell if you have a fever what u do,what do i do if i have a fever,what to do if i have a fever,how fo you know if you have a fever what can i do,I think I have a fever. What do I do?,how so you know if you have a fever what do u do,I think I have a fever.  What do I do?,i think i have a fever what should i do,how tell if you have a fever what can i do,how fo you know if you have a fever what u do,how so you know if you have a fever what do i do,what do i do when i have a fever,how fo you know if you have a fever what do u do,how so i know if i have a fever what do i do,how tell if you have a fever what do u do,how so you know if you have a fever what can i do,how so i know if i have a fever what do u do,how so you know if you have a fever what u do,how so i know if i have a fever what u do,what do i do if i have fever,how so i know if i have a fever what can i do,how fo you know if you have a fever what do i do,what should i do if i have fever,how tell if you have a fever what do i do,i think i have a fever what do i do,i have a fever what should i do,what do u do when u have a fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21 23:21:57,8e750805-9fc2-4702-a244-0b7e67cf29ad,vi,1+1,en,1 + 1,1+1,#ERROR!,1+1,1 + 1,1 in 1,one to one,1 & 1,one +1,1 1 2001,1 +1,1 and 1,1 1,1 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 11:24:08,7977f4b9-e495-45f7-a5ca-841359f618ac,es,What's covid19?,en,What is Covid19?,What's covid19?,What is Covid19?,what is the covid19,covid19 what is it,define covid19,covid19 definition,covid19 meaning,definition of covid19,whats covid19,what is a covid19,covid19 define,what does covid19 mean,covid19 what is,what's covid19,What's covid19?,what is covid19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 16:34:40,4b388591-5ea5-401f-b387-9a4e6be70a91,pt,Does the virus spread by rain?,en,Does the virus spread through rain?,Does the virus spread by rain?,can viruses spread through rain,can a virus spread through rain,viruses spread through rain,do viruses spread through rain,does the virus spread by rain,can viruses spread by rain,viruses spread by rain,Does the virus spread through rain?,does the virus spread in the rain,Does the virus spread by rain?,does virus spread through rain,does rain spread viruses,does the virus spread through the rain,can virus spread through rain,does the virus spread through rain,virus spread through rain,does a virus spread through rain,virus spread by rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21 19:50:01,ceae6bf7-a5ec-4832-934d-211ebc182948,es,Le virus est-il aussi virulent dans les pays proche de l'équateur ?,fr,Le virus est-il également virulent dans les pays proches de l'équateur?,Le virus est-il aussi virulent dans les pays proche de l'équateur ?,virus virulent dans les pays proches de l équateur,le virus est il virulent dans les pays proches de l équateur,le virus est il viré dans les pays proches de l équateur,le virus virulent dans les pays proches de l équateur,le virus est il également virulent dans les pays proches de l équateur,le virus virulent dans les pays proche de l équateur,le virus est il virulent dans les pays autour de l équateur,Le virus est-il également virulent dans les pays proches de l'équateur?,le virus est il virer dans les pays proches de l équateur,le virus est il aussi virulent dans les pays proche de l équateur,le virus est il virulent dans les pays proches de l equateur,le virus est il aussi virulent dans les pays proches de l équateur,le virus est il également viré dans les pays proches de l équateur,le virus est viruent dans les pays proches de l équateur,le virus est il virement dans les pays proches de l équateur,le virus est il virable dans les pays proches de l équateur,le virus est il virulent dans les pays proche de l équateur,Le virus est-il aussi virulent dans les pays proche de l'équateur ?,le virus est il virement dans les pays proches de l equateur,le virus est il virulent dans les pays proche de l equateur,le virus est il virable dans les pays proches de l equateur,le virus est il virable dans les pays proche de l équateur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 18:37:45,f2db6c52-2c2a-4b9d-bc14-c5e71263788d,es,What are the synthoms?,en,What are the synths?,What are the synthoms?,what are syntheses,what is synths,What are the synths?,what are the synths,whats synths,what is a synths,what are the synthoms,what are synthom,what is synthoms,what is syntheses,what is synthom,what is the synths,what are synth,what is synthesizer,What are the synthoms?,what are synths,whats a synth,what is the syntheses,what are the syntheses,what are synthoms,what's a synth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21 23:43:38,ad758027-60ef-4316-974a-6856cdf18b7b,zh,what is covid-19,en,what is covid-19,,what is the meaning of covid 19,covid 19 definition,covid 19 meaning,meaning of covid 19,what is a covid 19,what is the covid 19,what is covid-19,what does covid 19 mean,definition of covid 19,what is covid 19,define covid 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22 0:20:19,91c3514c-e3f6-43cd-beae-fb8cdcde4365,vi,Huhu,vi,Huhu,,Huhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
